title,view_count,subscriber_count,video_count
Dream,3075433471,31900000,119
GENIAL,6862066657,31800000,7223
HUM TV,27052877732,31700000,117641
Luis Fonsi,15320067713,31600000,209
JustinBieberVEVO,27083143804,31500000,204
Round2hell,3235557113,31500000,67
व्लाद और निकिता,18533746143,31400000,564
Enaldinho,12972306582,31500000,3893
The Tonight Show Starring Jimmy Fallon,17155748765,31300000,9267
ImagineDragons,17620312709,31100000,102
Junya.じゅんや,19009689385,31100000,7384
Gulshan Kalra,14296239459,31000000,579
قناة طيور الجنة | toyoraljanahtv,28087303696,30700000,3235
Little Angel: Nursery Rhymes & Kids Songs,23159728923,30700000,1402
Adele,14825674666,30700000,15
Beast Reacts,5323390839,30800000,239
AH,4606483011,30800000,2913
jacksepticeye,16498592806,30500000,5162
Talking Tom,15518734808,30500000,573
Trap Nation,14208713473,30400000,2789
Boram Tube Vlog [보람튜브 브이로그],13662638481,30400000,226
Spinnin' Records,20015908491,30200000,11800
Aditya Movies,11139156079,30300000,6091
infobells - Tamil,18690256013,30100000,591
Shawn Mendes,13168552269,30100000,133
infobells - Telugu,15854940759,30100000,541
Masha y el Oso,14582890688,30000000,1234
Shemaroo Movies,8252995332,30000000,3163
ashish chanchlani vines,4568757332,30000000,153
Ultra Records,17012822342,29900000,4940
Maluma,21787010274,29600000,37
Akshay Nagwadiya,9820865537,29800000,712
Aditya Music India,27109879391,29300000,22092
Goldmines Dishoom,9150857332,29300000,4232
Michael Jackson,15091868031,29100000,17
AuronPlay,4128056998,29100000,404
Alejo Igoa,12991690132,29200000,909
LankyBox,37989279495,28900000,9968
★ Kids Roma Show,11235263580,28900000,657
LeoNata Family,32385446218,28800000,2681
Drake,16312691049,28800000,63
Crazy XYZ,8188781081,28500000,1298
The Late Late Show with James Corden,10051013630,28400000,5803
JYP Entertainment,21044312895,28300000,1923
DanTDM,19626396708,28300000,3689
toycantando,16322857609,28300000,702
mujjuu___14,16238917588,28400000,946
Bounce Patrol - Kids Songs,21235815380,28200000,324
Nick Jr.,22647271831,28100000,5374
Heroindori,10694581711,28300000,529
Sandeep Maheshwari,2394507071,28100000,632
NichLmao,15486213980,28000000,956
Wiz Khalifa,13708985584,27900000,724
Goldmines Bollywood,9182249143,27900000,4003
Spider Slack,16329207087,27800000,1025
Brent Rivera,7066026717,27800000,576
D Billions,34753403456,27700000,887
Mark Rober,4289534013,27600000,128
김프로KIMPRO,28587411750,27600000,2158
Daniel LaBelle,14968636919,27400000,305
Renato Garcia YT,8214532040,27400000,4117
Indosiar,5569140649,27500000,24346
Kids TV - Nursery Rhymes And Baby Songs,13894290849,27400000,4008
Netflix,7700424281,27300000,6812
That Little Puff,23079526452,27200000,829
ToyPuddingTV,15987256609,27100000,2423
Raffy Tulfo in Action,15465372572,27000000,10417
enchufetv,10494225879,27000000,1603
WORLDSTARHIPHOP,20609358580,26600000,6926
America's Got Talent,4629558386,26600000,2016
The Lallantop,11430739238,26500000,55300
Tilak,10744913117,26500000,8140
Smosh,10637642529,26500000,1708
Beyoncé,17841197243,26400000,243
Diana and Roma HIN,12193114854,26400000,608
BB Ki Vines,4845977895,26400000,191
Nicki Minaj,10595299319,26300000,47
ABPLIVE,8605677457,26300000,195804
Tsuriki Show,34215269996,26200000,3367
Marília Mendonça,19128369196,26200000,146
1MILLION Dance Studio,8038434076,26200000,6369
David Guetta,18356052281,26100000,770
Topper Guild,17300064041,26200000,917
Post Malone,15193464831,26100000,86
Azhan5star,11575367198,26300000,747
ZHC,2956105908,26100000,321
WB Kids,11609806631,26100000,2107
VanossGaming,15781754634,25900000,1820
LosPolinesios,7626038480,25900000,1011
Sagawa /さがわ,21159562786,25800000,7081
Dan Rhodes,18115902785,25900000,1651
Ishaan Ali 11,15249310689,25900000,1075
unknown boy varun,10449841772,25900000,538
Coldplay,17938514177,25700000,406
Chris Brown,16023319851,25800000,38
Anuel AA,15684990052,25700000,148
Rans Entertainment,6599191253,25700000,3921
TaylorSwiftVEVO,26835683168,25600000,307
TRANS7 OFFICIAL,14680949590,25500000,92425
